Id,Label,Party,Local,Gender
강기윤,강기윤,국민의힘,경남 창원시성산구,남
강대식,강대식,국민의힘,대구 동구을,남
강득구,강득구,더불어민주당,경기 안양시만안구,남
강민국,강민국,국민의힘,경남 진주시을,남
강민정,강민정,더불어민주당,비례대표,여
강병원,강병원,더불어민주당,서울 은평구을,남
강선우,강선우,더불어민주당,서울 강서구갑,여
강성희,강성희,진보당,전북 전주시을,남
강은미,강은미,정의당,비례대표,여
강준현,강준현,더불어민주당,세종특별자치시을,남
강훈식,강훈식,더불어민주당,충남 아산시을,남
고민정,고민정,더불어민주당,서울 광진구을,여
고영인,고영인,더불어민주당,경기 안산시단원구갑,남
고용진,고용진,더불어민주당,서울 노원구갑,남
구자근,구자근,국민의힘,경북 구미시갑,남
권명호,권명호,국민의힘,울산 동구,남
권성동,권성동,국민의힘,강원 강릉시,남
권영세,권영세,국민의힘,서울 용산구,남
권은희,권은희,국민의힘,비례대표,여
권인숙,권인숙,더불어민주당,비례대표,여
권칠승,권칠승,더불어민주당,경기 화성시병,남
기동민,기동민,더불어민주당,서울 성북구을,남
김경만,김경만,더불어민주당,비례대표,남
김경협,김경협,더불어민주당,경기 부천시갑,남
김교흥,김교흥,더불어민주당,인천 서구갑,남
김기현,김기현,국민의힘,울산 남구을,남
김남국,김남국,무소속,경기 안산시단원구을,남
김도읍,김도읍,국민의힘,부산 북구강서구을,남
김두관,김두관,더불어민주당,경남 양산시을,남
김미애,김미애,국민의힘,부산 해운대구을,여
김민기,김민기,더불어민주당,경기 용인시을,남
김민석,김민석,더불어민주당,서울 영등포구을,남
김민철,김민철,더불어민주당,경기 의정부시을,남
김병기,김병기,더불어민주당,서울 동작구갑,남
김병욱,김병욱,국민의힘,경북 포항시남구울릉군,남
김병욱,김병욱,더불어민주당,경기 성남시분당구을,남
김병주,김병주,더불어민주당,비례대표,남
김상훈,김상훈,국민의힘,대구 서구,남
김상희,김상희,더불어민주당,경기 부천시병,여
김석기,김석기,국민의힘,경북 경주시,남
김성원,김성원,국민의힘,경기 동두천시연천군,남
김성주,김성주,더불어민주당,전북 전주시병,남
김성환,김성환,더불어민주당,서울 노원구병,남
김수흥,김수흥,더불어민주당,전북 익산시갑,남
김승남,김승남,더불어민주당,전남 고흥군보성군장흥군강진군,남
김승수,김승수,국민의힘,대구 북구을,남
김승원,김승원,더불어민주당,경기 수원시갑,남
김영배,김영배,더불어민주당,서울 성북구갑,남
김영선,김영선,국민의힘,경남 창원시의창구,여
김영식,김영식,국민의힘,경북 구미시을,남
김영주,김영주,더불어민주당,서울 영등포구갑,여
김영진,김영진,더불어민주당,경기 수원시병,남
김영호,김영호,더불어민주당,서울 서대문구을,남
김예지,김예지,국민의힘,비례대표,여
김용민,김용민,더불어민주당,경기 남양주시병,남
김용판,김용판,국민의힘,대구 달서구병,남
김웅,김웅,국민의힘,서울 송파구갑,남
김원이,김원이,더불어민주당,전남 목포시,남
김윤덕,김윤덕,더불어민주당,전북 전주시갑,남
김의겸,김의겸,더불어민주당,비례대표,남
김정재,김정재,국민의힘,경북 포항시북구,여
김정호,김정호,더불어민주당,경남 김해시을,남
김종민,김종민,더불어민주당,충남 논산시계룡시금산군,남
김주영,김주영,더불어민주당,경기 김포시갑,남
김진표,김진표,무소속,경기 수원시무,남
김철민,김철민,더불어민주당,경기 안산시상록구을,남
김태년,김태년,더불어민주당,경기 성남시수정구,남
김태호,김태호,국민의힘,경남 산청군함양군거창군합천군,남
김학용,김학용,국민의힘,경기 안성시,남
김한규,김한규,더불어민주당,제주 제주시을,남
김한정,김한정,더불어민주당,경기 남양주시을,남
김형동,김형동,국민의힘,경북 안동시예천군,남
김홍걸,김홍걸,더불어민주당,비례대표,남
김회재,김회재,더불어민주당,전남 여수시을,남
김희곤,김희곤,국민의힘,부산 동래구,남
김희국,김희국,국민의힘,경북 군위군의성군청송군영덕군,남
남인순,남인순,더불어민주당,서울 송파구병,여
노용호,노용호,국민의힘,비례대표,남
